Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Charleville Golf Club,-8.723638,52.3453581,Cork,Charleville,Republic of Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
Doneraile Court  Wildlife Park,-8.583008,52.2162916,Cork,Doneraile,Republic of Ireland,"Historic Houses and Castle,Public Park,Nature and Wildlife,Cafe,Food and Drink,Tour"
Mitchelstown Golf Club,-8.2852926,52.286942,Cork,Mitchelstown,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Ballyneety Golf Club,-8.55145,52.590331,Limerick,Ballyneety,Republic of Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
Galty Castle Wood,-8.176111235,52.32377669,Limerick,Ballylanders,Republic of Ireland,"Photography,Learning,Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Nature and Wildlife"
Baltimore Diving and Watersports Centre,-9.370642,51.485258,Cork,Baltimore,Republic of Ireland,Activity Operator
Ashford Equestrian Centre,-9.2928038,53.5359919,Mayo,Cong,Republic of Ireland,"Horse Riding,Equestrian"
Celtic Plantarum Dundrum,-8.04394294,52.5576255,Tipperary,Dundrum,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Magilligan Point View,-7.0140302,55.22405,Donegal,Greencastle,Republic of Ireland,"Walking,Natural Landscape"
Skibbereen  West Carbery Golf Club,-9.288321,51.531452,Cork,Skibbereen,Republic of Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
IOSAS Centre,-7.3296987,55.0529151,Donegal,Muff,Republic of Ireland,"Gardens,Garden,Cafe,Food and Drink"
Jackie Mahon Angling Guide  Flytier,-8.4760888,54.2766103,Sligo,Sligo Town,Republic of Ireland,"Fishing,Angling,Activity Operator"
Howth Adventures,-6.066383,53.3827109,Dublin,Howth,Republic of Ireland,"Walking,Activity Operator,Day Tour,Tour"
Donegal Town Walking Tours,-8.1115482,54.6521961,Donegal,Donegal Town,Republic of Ireland,"Activity Operator,Tour,Walking"
The Royal Dublin Golf Club,-6.1703587,53.3564795,Dublin,Dublin City,Republic of Ireland,Golf
Killiney,-6.1122264,53.2577732,Dublin,Killiney,Republic of Ireland,Beach
