id,Station,Divisions,x,y,Year,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime",Lat,Long
2060,Baile Atha Bui, Meath,271783,264284,2009,22,6,0,4,20,78,3,2,4,42,26,3,53.62364,-6.91586
2061,Ballivor, Meath,268536,254113,2009,20,5,0,1,14,32,3,2,2,27,12,1,53.5327,-6.96716
2062,Oldcastle, Meath,255311,280274,2009,29,12,0,3,23,45,6,8,0,37,20,1,53.76928,-7.16193
2063,Nobber, Meath,282592,286429,2009,7,6,0,0,19,50,1,2,2,17,5,1,53.82096,-6.74664
2064,Trim, Meath,280291,256571,2009,52,72,0,4,46,187,28,44,10,96,158,26,53.55312,-6.78929
2065,Dunboyne, Meath,301292,242275,2009,55,29,1,13,71,198,9,29,10,73,61,0,53.42109,-6.47714
2067,Dunshaughlin, Meath,296955,252168,2009,33,26,0,3,71,135,8,19,3,61,46,23,53.51076,-6.53931
2068,Longwood, Meath,271333,245457,2009,11,4,0,0,16,50,2,3,1,25,10,1,53.45457,-6.92695
2069,Kilcock, Kildare,288341,240096,2009,52,22,0,6,128,179,8,11,10,89,39,16,53.40384,-6.6725
2070,Summerhill, Meath,284134,248716,2009,6,10,0,2,25,39,2,10,1,19,7,1,53.48196,-6.73343
2071,Enfield, Meath,277589,241162.01,2009,9,15,0,0,18,37,6,5,2,32,19,1,53.41511,-6.83386
2072,Balbriggan, D.M.R. Northern,319756,264224,2009,102,93,1,17,123,376,36,102,20,235,255,75,53.61433,-6.19118
2073,Skerries, D.M.R. Northern,325432,260503,2009,25,24,0,2,32,122,7,24,12,103,122,10,53.57959,-6.10695
2074,Lusk, D.M.R. Northern,321594,254148,2009,37,62,2,5,88,204,10,29,6,100,68,7,53.52343,-6.16734
2076,Garristown, D.M.R. Northern,307122,258655,2009,2,4,0,1,21,42,0,4,1,6,5,1,53.56705,-6.3839
2077,Ashbourne, Meath,306394,252439,2009,54,81,1,10,133,412,12,173,13,111,174,7,53.51137,-6.397
2078,Navan, Meath,286636,267972,2009,78,183,0,18,161,532,27,132,29,248,382,62,53.65452,-6.69042
2079,Ardee, Louth,296047,290467,2009,43,29,1,0,50,129,14,8,3,97,68,8,53.85491,-6.54114
2080,Collon, Louth,299931,281968,2009,6,2,0,0,14,58,2,0,0,24,9,0,53.77785,-6.4849
2081,Duleek, Meath,304644,268266,2009,26,14,0,1,48,112,7,11,3,62,36,3,53.65387,-6.41806
2082,Slane, Meath,295959,274295,2009,13,11,0,0,44,73,1,24,0,25,21,0,53.70968,-6.54751
2083,Mullingar, Westmeath,243426,253036,2009,169,151,1,11,137,430,46,58,31,332,454,76,53.5257,-7.34595
2084,Killucan, Westmeath,257122,251959,2009,9,8,0,0,11,34,2,5,1,22,9,2,53.51471,-7.13966
2085,Kinnegad, Westmeath,259649,245446,2009,18,14,0,3,24,37,2,3,0,73,44,5,53.45592,-7.10281
2086,Rochfortbridge, Westmeath,246475,240552,2009,10,7,0,1,7,18,1,3,1,11,25,1,53.41328,-7.30183
2088,Delvin, Westmeath,260269,263101.01,2009,6,12,0,2,19,23,3,10,1,18,18,1,53.61446,-7.09008
2089,Athlone, Westmeath,203723,241436,2009,111,138,1,13,170,464,34,200,17,213,442,65,53.42325,-7.94474
2091,Ballymore, Westmeath,221174,249031,2009,3,7,0,0,8,19,0,0,1,3,6,1,53.49108,-7.68173
2093,Kilbeggan, Westmeath,233387,235463,2009,23,14,0,1,40,47,2,2,1,28,11,0,53.36855,-7.49918
2094,Moate, Westmeath,217710,238405,2009,10,32,0,1,24,28,1,7,2,40,48,1,53.39574,-7.73452
2095,Ballymahon, Roscommon/Longford,215897,256827,2009,17,6,0,0,41,42,3,1,3,49,40,2,53.56131,-7.76084
2096,Longford, Roscommon/Longford,213158,275874,2009,131,77,2,7,106,266,32,64,20,205,247,27,53.73251,-7.80137
2097,Drumlish, Roscommon/Longford,215464,285808,2009,10,5,0,0,10,13,7,0,0,9,18,1,53.8217,-7.76593
2098,Kenagh, Roscommon/Longford,212284,263566,2009,2,5,0,0,12,15,0,0,0,8,2,0,53.62195,-7.8151
20101,Lanesboro, Roscommon/Longford,201022,269010,2009,8,4,0,0,15,22,3,1,0,12,16,0,53.67101,-7.98528
20103,Granard, Roscommon/Longford,233393,281099,2009,10,21,0,2,46,43,5,10,5,28,47,6,53.77855,-7.49421
20105,Edgeworthstown, Roscommon/Longford,226076,271817,2009,28,17,0,2,49,74,9,17,6,41,48,5,53.69558,-7.60598
20106,Smear, Roscommon/Longford,226257,290182,2009,3,0,0,0,2,6,0,0,0,3,6,0,53.86056,-7.60168
20107,Ballynacargy, Westmeath,230848,259684,2009,7,3,0,1,11,15,3,0,0,14,5,0,53.58631,-7.53494
20108,Castlepollard, Westmeath,246529,270072,2009,11,8,0,1,30,45,0,1,0,25,11,4,53.67848,-7.29663
20109,Multyfarnham, Westmeath,240257,263975,2009,3,1,0,0,15,29,0,2,0,15,1,1,53.62423,-7.39232
20111,Portlaoise, Laois/Offaly,246806,198079,2009,153,102,0,14,131,495,47,174,21,289,346,78,53.03165,-7.30308
20112,Mountmellick, Laois/Offaly,244565,207755,2009,33,15,0,2,28,64,9,11,13,53,47,5,53.11878,-7.33514
20113,Mountrath, Laois/Offaly,235093,194251,2009,18,10,0,0,37,45,5,3,0,60,18,1,52.99815,-7.47807
20114,Portarlington, Laois/Offaly,254379,212351,2009,39,40,0,0,54,147,5,68,13,72,66,14,53.15916,-7.1878
20115,Stradbally Co Laois, Laois/Offaly,256987,196633,2009,7,7,0,3,21,58,1,181,4,16,41,0,53.01767,-7.1516
20116,Clonaslee, Laois/Offaly,231761,210974,2009,1,2,0,1,4,13,0,0,0,6,5,0,53.14862,-7.52604
20117,Abbeyleix, Laois/Offaly,244196,184819,2009,23,22,0,0,32,130,1,11,2,59,49,1,52.91273,-7.34378
20119,Durrow, Laois/Offaly,240741,177168,2009,6,6,0,0,4,29,0,3,2,21,15,0,52.84426,-7.39609
20120,Rathdowney, Laois/Offaly,227140,178459,2009,3,4,0,0,8,26,2,3,0,16,11,1,52.85672,-7.59783
20121,Ballylinan, Laois/Offaly,264370,188409.01,2009,11,4,1,1,12,28,1,3,4,21,4,0,52.94295,-7.04323
20122,Arles, Laois/Offaly,266084,182647,2009,6,5,0,1,17,31,0,4,0,19,2,0,52.89098,-7.01891
20124,Borris-In-Ossory, Laois/Offaly,225006,187638,2009,4,6,0,0,8,20,2,3,0,9,4,0,52.9393,-7.62881
20125,Birr, Laois/Offaly,205977,205022,2009,61,32,0,5,47,126,7,46,12,97,92,20,53.09605,-7.91151
20126,Banagher, Laois/Offaly,200990,215534,2009,11,4,0,0,3,27,1,6,0,16,38,0,53.19053,-7.98593
20127,Cloghan, Laois/Offaly,208230,219360,2009,8,2,0,0,6,16,0,1,6,8,13,1,53.22485,-7.87751
20128,Ferbane, Laois/Offaly,211550,224476,2009,4,4,0,0,9,21,0,0,2,12,7,2,53.27076,-7.82762
20129,Kilcormac, Laois/Offaly,218181,213971,2009,4,1,0,0,12,14,2,5,1,14,15,0,53.17618,-7.72883
20130,Kinnitty, Laois/Offaly,218662,205318,2009,1,2,0,0,4,11,0,5,2,2,2,2,53.09842,-7.72214
20131,Shinrone, Laois/Offaly,204473,192626,2009,1,5,0,0,5,8,0,2,1,9,6,0,52.98468,-7.93414
20133,Lorrha, Tipperary,191871,204759,2009,3,0,0,0,5,6,0,0,0,1,5,0,53.09366,-8.12207
20134,Tullamore, Laois/Offaly,233744,225171,2009,93,61,0,1,105,322,38,56,16,156,390,43,53.27605,-7.49491
20135,Clara, Laois/Offaly,225751,232841,2009,33,14,0,3,30,47,22,14,9,60,44,8,53.34542,-7.6141
20136,Clonbologue, Laois/Offaly,261062,223560,2009,5,1,0,0,4,9,1,1,1,7,0,0,53.25914,-7.08576
20137,Daingean, Laois/Offaly,247157,227166,2009,9,9,0,1,11,23,1,2,3,14,13,2,53.29296,-7.29356
20138,Edenderry, Laois/Offaly,262613,232228,2009,42,20,0,6,57,120,5,25,3,63,51,13,53.33683,-7.06081
20139,Rhode, Laois/Offaly,253668,233706,2009,6,3,0,0,12,19,1,9,3,11,5,0,53.35109,-7.19483
20141,Naas, Kildare,289174,218612,2009,128,151,5,20,289,677,49,444,21,249,303,105,53.21072,-6.66601
20142,Celbridge, Kildare,297174,233606,2009,27,35,1,8,131,239,13,39,2,138,79,7,53.344,-6.54173
20143,Clane, Kildare,287676,227817,2009,31,26,1,11,105,138,6,32,6,89,37,1,53.29366,-6.68589
20145,Maynooth, Kildare,293699,237635,2009,42,41,1,14,102,253,10,10,2,127,137,2,53.38081,-6.59269
20146,Kildare, Kildare,273149,212253,2009,58,49,0,7,45,195,16,37,7,133,129,10,53.15604,-6.90726
20147,Robertstown, Kildare,279018,225057,2009,20,17,1,9,55,79,2,26,3,41,25,1,53.27022,-6.81638
20148,Kilcullen, Kildare,283951,209436,2009,31,19,0,1,85,109,5,13,2,52,46,5,53.12914,-6.74657
20149,Monasterevin, Kildare,263312,210127,2009,28,13,0,5,36,73,3,19,3,69,16,1,53.1382,-7.05471
20150,Newbridge, Kildare,280576,215199,2009,113,71,0,26,249,403,30,91,12,193,183,9,53.18143,-6.79553
20151,Rathangan, Kildare,267007,219519,2009,13,7,0,2,30,42,4,1,2,44,7,2,53.22212,-6.99754
20153,Carbury, Kildare,270878,232525,2009,9,13,0,4,48,60,0,1,2,42,7,1,53.33846,-6.9367
20154,Carlow, Kilkenny/Carlow,272198,177119,2009,274,144,1,27,301,873,46,234,34,501,483,87,52.84053,-6.92932
20156,Tullow, Kilkenny/Carlow,285472,173250,2009,22,33,0,3,56,82,4,15,4,69,43,1,52.80383,-6.73339
20157,Ballon, Kilkenny/Carlow,282972,166461,2009,4,6,0,1,25,21,0,1,0,9,10,1,52.74323,-6.77217
20158,Myshall, Kilkenny/Carlow,282654,160255.01,2009,5,7,0,1,11,16,0,0,0,5,4,1,52.68752,-6.77844
20159,Muine Bheag, Kilkenny/Carlow,270533,161598,2009,49,18,0,2,69,93,5,23,4,93,85,3,52.7013,-6.95736
20160,Athy, Kildare,267993,193718,2009,71,46,1,23,151,262,14,38,13,181,115,15,52.9902,-6.98824
20161,Castledermot, Kildare,277476,184847,2009,18,11,0,2,36,58,2,4,4,27,6,0,52.90922,-6.84917
20162,Baltinglass, Wicklow,286795,188319.01,2009,18,25,0,5,78,109,16,20,4,63,41,9,52.93899,-6.70977
20163,Blessington, Wicklow,298103,214283,2009,27,44,0,3,91,208,8,60,9,66,91,5,53.17027,-6.53373
20164,Dunlavin, Wicklow,287139,201660,2009,8,13,1,1,31,32,1,4,1,18,16,0,53.05878,-6.70106
20167,Shillelagh, Wicklow,298794,168019,2009,9,2,0,0,13,16,0,1,0,10,3,0,52.75457,-6.5375
20168,Tinahely, Wicklow,303300,172806,2009,11,8,0,3,7,22,0,0,0,15,3,0,52.79672,-6.46928
20169,Hacketstown, Kilkenny/Carlow,297234,180208,2009,7,1,0,2,8,21,1,5,0,10,4,2,52.86434,-6.55698
20170,Rathvilly, Kilkenny/Carlow,287882,181820,2009,6,2,0,0,13,9,1,3,1,24,8,0,52.88043,-6.69536
20172,Wexford, Wexford,304886,121500,2009,85,109,0,5,119,469,30,207,33,258,442,53,52.33554,-6.46199
20173,Taghmon, Wexford,291982,119738,2009,13,14,0,0,12,49,2,14,1,49,20,1,52.32202,-6.65172
20175,Castlebridge, Wexford,305412,126984,2009,5,10,0,1,14,44,1,6,0,29,11,4,52.38471,-6.45256
20176,Kilmore Quay, Wexford,296930,103875,2009,14,7,0,0,25,42,0,15,1,34,10,0,52.17866,-6.58373
20177,Glynn, Wexford,296565,125474,2009,6,3,0,0,5,15,0,7,1,7,5,1,52.37277,-6.58288
20178,Rosslare Strand, Wexford,310308,114283,2009,21,9,0,0,20,28,1,5,1,19,9,2,52.26965,-6.38484
20179,Rosslare Harbour, Wexford,313825,112036,2009,25,7,0,0,34,40,3,11,3,24,19,6,52.24875,-6.3341
20180,Gorey, Wexford,315223,159527,2009,54,95,1,6,96,209,16,53,8,118,250,29,52.67504,-6.29726
20181,Bunclody, Wexford,290559,156971,2009,20,11,0,0,30,50,2,2,2,31,50,2,52.65676,-6.66247
20182,Courtown Harbour, Wexford,319821,156210,2009,18,17,1,0,50,88,1,11,1,42,31,3,52.64425,-6.23052
20183,Arklow, Wicklow,324524,173255,2009,101,50,1,8,74,305,17,137,16,203,232,140,52.79628,-6.15462
20184,Carnew, Wicklow,301985,163180,2009,5,7,0,1,14,24,0,2,0,17,4,0,52.71051,-6.49176
20185,Enniscorthy, Wexford,297114,139729,2009,102,89,0,3,79,281,34,76,16,178,275,43,52.50073,-6.57068
20186,Blackwater, Wexford,312320,133894,2009,3,11,0,0,31,58,2,5,1,29,9,2,52.4454,-6.34883
20187,Ferns, Wexford,301857,149873,2009,8,14,0,0,25,57,3,0,0,29,25,3,52.59099,-6.49776
20189,Oylegate, Wexford,300077,131256,2009,4,4,0,1,11,20,0,1,0,19,8,0,52.42408,-6.52961
20190,Oulart, Wexford,309287,140275,2009,12,4,0,0,19,23,2,7,1,19,4,1,52.50334,-6.39132
20191,Clonroche, Wexford,287355,133940,2009,9,7,0,0,15,18,1,6,0,12,5,2,52.45037,-6.71586
20192,New Ross, Wexford,271484,126693,2009,76,60,0,2,80,141,23,50,9,112,167,13,52.38756,-6.9508
20193,Ballycullane, Wexford,279276,114714,2009,8,7,0,0,9,22,1,6,2,11,4,0,52.27887,-6.8392
20194,Carrick-on-Bannow, Wexford,286534,110303,2009,16,7,0,2,5,25,0,16,4,14,8,1,52.23814,-6.73402
20195,Duncannon, Wexford,273189,108224,2009,6,3,0,0,31,36,0,11,1,24,6,0,52.2214,-6.92978
20197,Carrickbyrne, Wexford,284542,124096,2009,6,17,0,0,5,29,1,6,0,20,8,0,52.36237,-6.75971
20198,Campile, Wexford,272408,115601,2009,4,4,0,0,7,12,2,8,1,7,7,0,52.28778,-6.93962
20199,Wicklow, Wicklow,331516,194057,2009,76,61,0,0,119,200,27,114,14,149,344,40,52.98144,-6.04263
20200,Ashford, Wicklow,327080,197557.01,2009,13,37,0,0,19,48,7,84,7,16,21,0,53.01394,-6.10726
20201,Rathdrum, Wicklow,319306,188123,2009,24,18,0,2,20,79,3,20,12,38,39,0,52.931,-6.2265
20202,Newtownmountkennedy, Wicklow,326690,206784,2009,18,14,0,0,31,47,3,10,3,33,19,6,53.09689,-6.10944
20203,Avoca, Wicklow,320421,180111,2009,8,8,0,0,11,19,0,4,2,10,12,1,52.85879,-6.21289
20204,Roundwood, Wicklow,319065,202820,2009,5,5,0,0,14,64,0,55,4,23,5,0,53.06305,-6.22467
20205,Aughrim, Wicklow,312754,179619,2009,8,2,0,1,14,18,0,8,3,20,2,0,52.85603,-6.32684
20206,Waterford, Waterford,260568.78,112370.58,2009,368,207,1,46,453,1460,79,739,82,752,1369,357,52.26019,-7.11368
20207,Dunmore East, Waterford,268990,100038.01,2009,12,8,0,1,21,36,0,10,0,21,18,0,52.14838,-6.99287
20208,Ferrybank, Waterford,261416,113191,2009,28,29,0,3,33,79,1,28,8,83,51,3,52.26746,-7.10112
20209,Passage East, Waterford,270220,110160,2009,2,1,0,0,9,19,0,3,0,6,3,0,52.23918,-6.97281
20210,Mooncoin, Kilkenny/Carlow,251115.81,115801.27,2009,9,7,0,1,10,21,1,7,1,23,13,0,52.29197,-7.25158
20211,Glenmore, Kilkenny/Carlow,266278,122867,2009,1,5,0,0,13,23,0,4,0,8,2,0,52.35384,-7.02801
20212,Kilmacow, Kilkenny/Carlow,256323,118372,2009,2,3,0,0,17,8,0,0,0,6,4,1,52.31456,-7.17485
20213,Dungarvan, Waterford,225790,92872,2009,96,64,0,10,64,202,15,88,14,157,308,19,52.08769,-7.62448
20214,Cappoquin, Waterford,210611,99293,2009,10,3,0,0,6,18,0,4,1,14,10,0,52.14589,-7.84573
20215,Tallow, Waterford,199549,93475,2009,4,2,0,0,2,12,1,1,1,8,6,5,52.0937,-8.00731
20216,Ballymacarberry, Waterford,219322,112821,2009,0,0,0,0,6,17,1,1,1,6,4,1,52.26722,-7.71771
20217,Aglish, Waterford,212252,91029,2009,0,1,0,0,7,11,0,4,0,4,5,0,52.07159,-7.82205
20218,An Rinn, Waterford,227969,88510,2009,1,3,0,0,3,8,0,1,3,7,3,0,52.04838,-7.59305
20219,Lismore, Waterford,204465,98258,2009,13,9,0,0,10,11,2,0,2,10,21,2,52.13667,-7.93552
20220,Tramore, Waterford,257984,101354,2009,83,50,0,1,55,132,11,73,14,124,202,9,52.16147,-7.15341
20221,Kill Co Waterford, Waterford,245534,102988,2009,5,2,0,0,14,23,1,7,0,9,3,0,52.17732,-7.33511
20222,Kilmacthomas, Waterford,239610,106150,2009,11,5,0,0,16,20,0,6,3,27,26,1,52.20619,-7.42133
20223,Kilmeaden, Waterford,251615,110718,2009,2,7,0,1,17,13,1,9,3,9,8,0,52.24625,-7.24505
20224,Portlaw, Waterford,246617,115121,2009,8,9,0,0,11,18,1,4,3,19,10,2,52.28626,-7.31761
20225,Rathgormack, Waterford,233897,117376,2009,0,0,0,0,8,7,1,0,0,4,2,0,52.30745,-7.50377
20226,Leamybrien, Waterford,232780,101998,2009,5,4,0,1,10,22,0,6,1,15,3,0,52.16933,-7.52163
20228,Kilkenny, Kilkenny/Carlow,250149,155908,2009,228,192,2,17,267,670,39,196,25,260,949,34,52.65244,-7.25973
20229,Freshford, Kilkenny/Carlow,240959,164725,2009,0,6,0,0,10,9,0,1,0,1,2,0,52.73244,-7.39441
20230,Callan, Kilkenny/Carlow,241366,143576,2009,20,9,0,1,24,25,6,6,2,24,17,1,52.54237,-7.39104
20231,Castlecomer, Kilkenny/Carlow,253366,172283,2009,15,23,0,0,52,65,1,18,1,43,44,3,52.79927,-7.20954
20232,Goresbridge, Kilkenny/Carlow,268138,153632,2009,1,10,0,1,34,56,2,1,1,20,9,1,52.63003,-6.99443
20234,Thomastown, Kilkenny/Carlow,258413,142256,2009,19,10,0,0,18,51,7,27,6,22,47,3,52.52895,-7.14004
20235,Bennettsbridge, Kilkenny/Carlow,255404,149049,2009,2,3,0,0,19,21,0,5,0,8,4,0,52.5903,-7.18324
20236,Graiguenamanagh, Kilkenny/Carlow,270829,143924,2009,11,5,0,0,20,38,1,9,3,21,26,0,52.54247,-6.95677
20237,Stoneyford, Kilkenny/Carlow,252395,143015,2009,2,3,0,0,2,8,0,0,0,4,0,1,52.53638,-7.22858
20238,Ballyhale, Kilkenny/Carlow,254315,135462,2009,4,9,0,0,14,26,1,0,0,9,5,0,52.46833,-7.20152
20240,Kilmoganny, Kilkenny/Carlow,245640,134549,2009,1,0,0,0,7,5,0,0,0,1,2,1,52.46092,-7.32928
20241,Mullinavat, Kilkenny/Carlow,256441,124140,2009,4,9,0,1,14,17,0,1,0,10,4,0,52.36638,-7.17215
20242,Borris, Kilkenny/Carlow,272594,150554,2009,8,5,0,0,22,24,4,5,0,11,16,0,52.6018,-6.92931
20243,Thurles, Tipperary,212773,158257,2009,83,98,0,2,70,222,20,97,16,107,383,30,52.67572,-7.8119
20244,Ballingarry South, Tipperary,231163,148351,2009,7,2,0,0,10,12,0,4,0,9,2,1,52.58596,-7.54096
20245,Holycross, Tipperary,208653,154560,2009,5,6,0,0,12,5,1,5,1,1,5,12,52.64258,-7.8729
20246,Killenaule, Tipperary,222234,146362,2009,12,9,0,0,22,37,1,15,2,20,26,2,52.56852,-7.67283
20249,Urlingford, Kilkenny/Carlow,228440,163480,2009,5,5,0,1,18,32,1,7,2,19,14,1,52.72205,-7.57983
20250,Littleton, Tipperary,217994,154377,2009,5,10,0,0,14,21,0,13,3,11,10,0,52.6407,-7.73492
20251,Clonmel, Tipperary,220495,122492,2009,83,95,1,8,107,200,17,170,23,160,320,32,52.35409,-7.69994
20252,Kilsheelan, Tipperary,228676,123360,2009,1,2,0,0,4,8,0,3,0,0,5,0,52.36152,-7.5798
20253,Mullinahone, Tipperary,233619,139931,2009,4,0,0,0,7,9,0,2,0,3,3,0,52.51015,-7.50558
20255,Fethard, Tipperary,220818,134991,2009,19,8,1,0,23,48,1,17,2,36,15,1,52.4664,-7.69442
20256,Carrick-On-Suir, Tipperary,240263,121953,2009,44,22,0,2,47,86,8,76,9,64,61,11,52.34815,-7.4099
20257,Piltown, Kilkenny/Carlow,246014,122189,2009,4,4,0,0,19,21,0,7,1,10,7,0,52.34982,-7.32548
20258,Cahir, Tipperary,205478,124887,2009,38,64,0,0,19,51,4,41,16,35,138,8,52.37597,-7.92029
20259,Ardfinnan, Tipperary,208349,117754,2009,3,16,0,0,8,9,0,17,2,9,10,0,52.31183,-7.87831
20260,Ballyporeen, Tipperary,193377,113119,2009,4,8,0,1,1,2,1,1,1,2,15,0,52.2702,-8.09775
20262,Cashel, Tipperary,207497,140510,2009,33,44,0,3,22,41,1,40,13,54,84,18,52.51634,-7.8903
20263,Clogheen, Tipperary,200368,113860,2009,3,1,0,1,2,9,0,5,3,7,3,0,52.2769,-7.99534
20264,Nenagh, Tipperary,186608,179243,2009,50,85,0,1,46,179,16,59,5,66,125,18,52.86428,-8.19958
20265,Borrisokane, Tipperary,191521,194016,2009,2,9,0,0,22,25,6,8,0,6,8,3,52.99712,-8.12702
20266,Ballingarry North, Tipperary,198005,196372,2009,0,1,0,0,6,3,0,0,0,1,0,0,53.01835,-8.03046
20267,Cloughjordan, Tipperary,197379,187871,2009,2,0,0,0,7,8,0,2,2,5,1,0,52.94196,-8.03972
20268,Dolla, Tipperary,187091,171770,2009,1,4,0,0,6,5,0,2,0,1,1,0,52.79714,-8.19211
20269,Portroe, Tipperary,176239,181245,2009,1,0,0,0,5,22,1,4,0,3,2,0,52.88191,-8.35368
20270,Toomevara, Tipperary,197590,177601,2009,0,5,0,0,8,14,1,1,1,5,3,0,52.84968,-8.0365
20272,Templemore, Tipperary,211174,171709,2009,31,17,0,3,15,26,2,9,3,21,53,9,52.79663,-7.83508
20273,Templetuohy, Tipperary,218933,171028,2009,4,2,0,0,2,5,0,0,0,2,2,0,52.79029,-7.7201
20274,Roscrea, Tipperary,213573,189469,2009,37,35,0,2,41,92,10,18,7,33,125,12,52.95616,-7.79878
20275,Moyne, Tipperary,219362,164795,2009,1,0,0,1,6,2,1,0,0,3,3,0,52.73427,-7.7141
20276,Templederry, Tipperary,194987,169197,2009,0,1,0,0,0,0,0,0,0,0,0,0,52.77415,-8.07501
20277,Borrisoleigh, Tipperary,203063,166674,2009,5,7,1,1,4,15,0,8,3,9,15,0,52.75149,-7.95537
20278,Shevry, Tipperary,196862,159490,2009,0,2,0,0,6,4,0,2,1,1,1,0,52.68694,-8.04714
20279,Moneygall, Tipperary,203184,181119,2009,0,2,0,0,10,5,0,0,0,1,7,0,52.88129,-7.95344
20280,Tipperary, Tipperary,188981,136034,2009,64,38,0,2,43,112,9,57,20,93,147,17,52.47605,-8.16289
20282,Emly, Tipperary,175977,134865,2009,4,2,0,0,3,7,1,3,1,5,3,0,52.46513,-8.35419
20283,Golden, Tipperary,201089,138327,2009,1,4,0,0,10,6,0,0,0,2,2,0,52.49677,-7.9847
20284,Cappawhite, Tipperary,188876,147953,2009,8,10,0,0,21,20,1,17,0,16,3,0,52.58316,-8.16484
20285,Bansha, Tipperary,195590,133041,2009,3,1,0,0,7,8,0,3,0,4,8,2,52.44925,-8.06559
20286,Oola, Limerick,182426,142055,2009,3,0,0,0,8,6,1,0,0,8,2,0,52.52999,-8.25968
20288,Anglesea Street, Cork City,168040,71558,2009,252,114,1,31,166,1369,64,184,49,365,1244,452,51.89582,-8.46499
20290,Bridewell Cork, Cork City,167215,72081,2009,100,28,0,9,42,393,26,68,19,70,503,112,51.90047,-8.47703
20291,Blackrock Co Cork, Cork North,172205,71367,2009,46,25,0,1,65,232,15,74,6,130,201,10,51.89433,-8.40448
20292,Togher, Cork City,166559,69410,2009,64,47,1,9,59,243,21,135,14,177,188,12,51.87643,-8.4863
20293,Bishopstown, Cork City,164612,69895,2009,60,27,0,3,81,441,40,66,2,147,148,4,51.88067,-8.51462
20294,Douglas, Cork City,170369,69237,2009,72,54,0,7,53,256,7,69,7,195,210,14,51.87509,-8.43096
20295,Carrigaline, Cork City,173048,62517,2009,40,41,0,0,39,94,10,71,6,54,111,8,51.81483,-8.39154
20296,Crosshaven, Cork City,179049,61280,2009,16,9,0,1,8,26,0,14,2,20,31,5,51.80397,-8.30445
20297,Passage West, Cork City,177197,68099,2009,38,11,0,0,21,60,1,15,1,45,31,3,51.86518,-8.33175
20298,Mayfield, Cork City,170530,73086,2009,50,42,0,4,29,163,6,78,16,150,148,9,51.90969,-8.42895
20300,Watercourse Road, Cork City,167393,72821,2009,183,117,1,37,139,615,29,210,33,491,540,30,51.90713,-8.47451
20302,Gurranabraher, Cork City,165871,72420,2009,134,78,1,6,99,292,15,315,49,492,450,41,51.90344,-8.49659
20303,Blarney, Cork City,161004,75630,2009,35,26,0,1,64,135,11,33,8,85,60,2,51.93197,-8.56766
20304,Ballincollig, Cork City,159406,70777,2009,32,43,0,2,46,167,12,60,6,123,203,11,51.88824,-8.59032
20306,Cobh, Cork North,179125,66205,2009,70,40,4,2,19,95,14,53,7,90,339,21,51.84824,-8.30365
20307,Carrigtwohill, Cork North,182032,73007,2009,15,19,0,0,14,47,6,15,2,10,26,1,51.90947,-8.26182
20308,Glanmire, Cork City,172745,74038,2009,25,32,0,2,26,112,15,59,19,77,136,5,51.91836,-8.39684
20311,Watergrasshill, Cork North,176566,84599,2009,3,10,0,0,3,21,0,11,0,4,4,0,52.01344,-8.34203
20312,Fermoy, Cork North,181278,98497,2009,47,51,1,0,4,83,17,77,1,63,165,17,52.13852,-8.27417
20313,Rathcormac Co Cork, Cork North,180555,91552,2009,1,18,0,0,1,28,4,17,2,10,11,1,52.07608,-8.28433
20314,Ballynoe, Cork North,193238,89752,2009,2,6,0,0,1,4,0,0,0,5,0,1,52.06021,-8.09932
20315,Kildorrery, Cork North,170705,110446,2009,1,7,0,0,8,12,2,3,0,13,2,0,52.24544,-8.42962
20316,Kilworth, Cork North,182977,102690,2009,0,3,0,0,8,8,1,2,0,3,7,0,52.17626,-8.24956
20317,Mitchelstown, Cork North,181576,112413,2009,24,34,0,2,18,44,7,29,2,36,67,4,52.26359,-8.27057
20318,Castletownroche, Cork North,168033,102149,2009,4,2,0,0,8,11,1,14,0,12,3,0,52.17073,-8.46795
20320,Mallow, Cork North,155824,98686,2009,86,90,0,1,29,177,10,119,16,115,312,23,52.13877,-8.64594
20321,Buttevant, Cork North,154182,108777,2009,17,17,0,0,17,20,1,6,4,23,35,1,52.22931,-8.67128
20322,Charleville, Cork North,153544,122887,2009,27,34,1,1,32,64,2,20,2,33,49,8,52.35605,-8.68256
20323,Doneraile, Cork North,160037,107212,2009,7,10,0,0,10,15,4,7,2,22,23,0,52.21571,-8.58541
20324,Milford Co Cork, Cork North,141682,121501,2009,3,7,0,0,3,7,0,3,1,4,9,0,52.34247,-8.8564
20325,Glantaine, Cork North,148745,94962,2009,3,3,0,0,8,13,1,0,0,8,15,1,52.10469,-8.74876
20326,Liscarroll, Cork North,144996,112237,2009,1,1,0,0,4,16,0,3,0,9,4,0,52.25956,-8.80627
20327,Drumcollogher, Limerick,137937,121074,2009,5,2,0,0,26,15,0,3,2,7,4,2,52.33822,-8.91127
20328,Midleton, Cork North,188110,73791,2009,38,82,1,0,40,164,15,88,8,105,179,31,51.91668,-8.17353
