STATISTIC,Statistic Label,TLIST(A1),Academic Year,C02352V02829,Level of Education,UNIT,VALUE
EDA37,Enrolments of Full-Time Students,1996,1995-1996,104,First level,Number,478692
EDA37,Enrolments of Full-Time Students,1996,1995-1996,23,Second level,Number,352910
EDA37,Enrolments of Full-Time Students,1996,1995-1996,4,Third level,Number,95099
EDA37,Enrolments of Full-Time Students,1996,1995-1996,X45,Post leaving certificate courses (VPT2),Number,17985
EDA37,Enrolments of Full-Time Students,1997,1996-1997,-,All levels of education,Number,942170
EDA37,Enrolments of Full-Time Students,1997,1996-1997,104,First level,Number,469628
EDA37,Enrolments of Full-Time Students,1997,1996-1997,23,Second level,Number,353617
EDA37,Enrolments of Full-Time Students,1997,1996-1997,4,Third level,Number,100204
EDA37,Enrolments of Full-Time Students,1997,1996-1997,X45,Post leaving certificate courses (VPT2),Number,18721
EDA37,Enrolments of Full-Time Students,1998,1997-1998,-,All levels of education,Number,934469
EDA37,Enrolments of Full-Time Students,1998,1997-1998,104,First level,Number,460845
EDA37,Enrolments of Full-Time Students,1998,1997-1998,23,Second level,Number,347898
EDA37,Enrolments of Full-Time Students,1998,1997-1998,4,Third level,Number,104439
EDA37,Enrolments of Full-Time Students,1998,1997-1998,X45,Post leaving certificate courses (VPT2),Number,21287
EDA37,Enrolments of Full-Time Students,1999,1998-1999,-,All levels of education,Number,924049
EDA37,Enrolments of Full-Time Students,1999,1998-1999,104,First level,Number,452533
EDA37,Enrolments of Full-Time Students,1999,1998-1999,23,Second level,Number,339184
EDA37,Enrolments of Full-Time Students,1999,1998-1999,4,Third level,Number,108509
EDA37,Enrolments of Full-Time Students,1999,1998-1999,X45,Post leaving certificate courses (VPT2),Number,23823
EDA37,Enrolments of Full-Time Students,2000,1999-2000,-,All levels of education,Number,914825
EDA37,Enrolments of Full-Time Students,2000,1999-2000,104,First level,Number,444310
EDA37,Enrolments of Full-Time Students,2000,1999-2000,23,Second level,Number,330482
EDA37,Enrolments of Full-Time Students,2000,1999-2000,4,Third level,Number,115696
EDA37,Enrolments of Full-Time Students,2000,1999-2000,X45,Post leaving certificate courses (VPT2),Number,24337
EDA37,Enrolments of Full-Time Students,2001,2000-2001,-,All levels of education,Number,905954
EDA37,Enrolments of Full-Time Students,2001,2000-2001,104,First level,Number,439560
EDA37,Enrolments of Full-Time Students,2001,2000-2001,23,Second level,Number,320993
EDA37,Enrolments of Full-Time Students,2001,2000-2001,4,Third level,Number,119991
EDA37,Enrolments of Full-Time Students,2001,2000-2001,X45,Post leaving certificate courses (VPT2),Number,25410
EDA37,Enrolments of Full-Time Students,2002,2001-2002,-,All levels of education,Number,906753
EDA37,Enrolments of Full-Time Students,2002,2001-2002,104,First level,Number,441065
EDA37,Enrolments of Full-Time Students,2002,2001-2002,23,Second level,Number,314414
EDA37,Enrolments of Full-Time Students,2002,2001-2002,4,Third level,Number,124589
EDA37,Enrolments of Full-Time Students,2002,2001-2002,X45,Post leaving certificate courses (VPT2),Number,26685
EDA37,Enrolments of Full-Time Students,2003,2002-2003,-,All levels of education,Number,913368
EDA37,Enrolments of Full-Time Students,2003,2002-2003,104,First level,Number,443720
EDA37,Enrolments of Full-Time Students,2003,2002-2003,23,Second level,Number,311716
EDA37,Enrolments of Full-Time Students,2003,2002-2003,4,Third level,Number,129283
EDA37,Enrolments of Full-Time Students,2003,2002-2003,X45,Post leaving certificate courses (VPT2),Number,28649
EDA37,Enrolments of Full-Time Students,2004,2003-2004,-,All levels of education,Number,918681
EDA37,Enrolments of Full-Time Students,2004,2003-2004,104,First level,Number,446029
EDA37,Enrolments of Full-Time Students,2004,2003-2004,23,Second level,Number,309232
EDA37,Enrolments of Full-Time Students,2004,2003-2004,4,Third level,Number,133887
EDA37,Enrolments of Full-Time Students,2004,2003-2004,X45,Post leaving certificate courses (VPT2),Number,29533
EDA37,Enrolments of Full-Time Students,2005,2004-2005,-,All levels of education,Number,919233
EDA37,Enrolments of Full-Time Students,2005,2004-2005,104,First level,Number,449298
EDA37,Enrolments of Full-Time Students,2005,2004-2005,23,Second level,Number,306890
EDA37,Enrolments of Full-Time Students,2005,2004-2005,4,Third level,Number,133691
EDA37,Enrolments of Full-Time Students,2005,2004-2005,X45,Post leaving certificate courses (VPT2),Number,29354
EDA37,Enrolments of Full-Time Students,2006,2005-2006,-,All levels of education,Number,927805
EDA37,Enrolments of Full-Time Students,2006,2005-2006,104,First level,Number,457889
EDA37,Enrolments of Full-Time Students,2006,2005-2006,23,Second level,Number,303821
EDA37,Enrolments of Full-Time Students,2006,2005-2006,4,Third level,Number,136719
EDA37,Enrolments of Full-Time Students,2006,2005-2006,X45,Post leaving certificate courses (VPT2),Number,29376
EDA37,Enrolments of Full-Time Students,2007,2006-2007,-,All levels of education,Number,943992
EDA37,Enrolments of Full-Time Students,2007,2006-2007,104,First level,Number,471519
EDA37,Enrolments of Full-Time Students,2007,2006-2007,23,Second level,Number,303920
EDA37,Enrolments of Full-Time Students,2007,2006-2007,4,Third level,Number,138362
EDA37,Enrolments of Full-Time Students,2007,2006-2007,X45,Post leaving certificate courses (VPT2),Number,30191
EDA37,Enrolments of Full-Time Students,2008,2007-2008,-,All levels of education,Number,960701
EDA37,Enrolments of Full-Time Students,2008,2007-2008,104,First level,Number,486444
EDA37,Enrolments of Full-Time Students,2008,2007-2008,23,Second level,Number,305156
EDA37,Enrolments of Full-Time Students,2008,2007-2008,4,Third level,Number,139134
EDA37,Enrolments of Full-Time Students,2008,2007-2008,X45,Post leaving certificate courses (VPT2),Number,29967
EDA37,Enrolments of Full-Time Students,2009,2008-2009,-,All levels of education,Number,986294
EDA37,Enrolments of Full-Time Students,2009,2008-2009,104,First level,Number,498914
